name,rating,rating_count,review_count,info
"vivo T4x 5G (Marine Blue, 128 GB)",4.5,"2,14,905","9,272","['6 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Display', '50MP + 2MP | 8MP Front Camera', '6500 mAh Battery', 'Dimensity 7300 5G Processor', '1 Year Warranty for Device and 6 Months Warranty for Accessories']"
"REDMI 14C 5G (Starlight Blue, 128 GB)",4.3,"10,392",499,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5160 mAh Battery', '4 Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",4.4,"46,884","1,346","['4 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
"POCO C75 5G (Silver Stardust, 128 GB)",4.2,"1,57,540","6,823","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5160 mAh Battery', '4s Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"Ai+ Nova 5G (Pink, 128 GB)",4.2,"26,801","1,670","['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.13 cm (6.745 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'T8200 Processor', '1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories']"
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4.2,"41,774","2,499","['4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB', '17.02 cm (6.7 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories']"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",4.4,"62,506","1,905","['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
"Tecno Spark Go 1 (Startrail Black, 64 GB)",4.3,"6,775",318,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Display', '13MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'Unisoc T61 Processor', '1 Year Manufacturer Warranty for Phone']"
"vivo T4x 5G (Pronto Purple, 128 GB)",4.4,"1,62,182","7,540","['8 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Display', '50MP + 2MP | 8MP Front Camera', '6500 mAh Battery', 'Dimensity 7300 5G Processor', '1 Year Warranty for Device and 6 Months Warranty for Accessories']"
"POCO M7 5G (Satin Black, 128 GB)",4.3,"17,284",812,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.48 cm (6.88 inch) HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5160 mAh Battery', '4 Gen 2 5G Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 64 GB)",4.4,"46,884","1,346","['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP + 2MP | 5MP Front Camera', '6000 mAh Battery', 'Dimensity 6300 5G Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']"
